date,code,rank,brand,product,price,like,img_url,period_ym
20260329,2301047,1,오쏘몰,"""독일 명품 비타민"" 오쏘몰 이뮨 멀티비타민&미네랄 7입 - 단독 기프트박스 증정 (공식수입)",34000,170000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260303091018_0a0abd57abc84f5fb750ab0d6442431e.jpg,202603
20260329,7608679,2,옵티젠,"""한국인 맞춤 비타민"" 옵티젠 이뮨 멀티비타민&미네랄 10입 / 1박스",29900,50000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260319090748_363d63a1a71e40f68adb7363ad9c3576.jpg,202603
20260329,11866425,3,오쏘몰,"""독일 명품 비타민"" 오쏘몰 이뮨 멀티비타민&미네랄 10입(7+3) - 스페셜 기프트 에디션 (공식수입)",45000,7189,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260226110057_edc680514d624787891b50e6a1275160.jpg,202603
20260329,2484405,4,오쏘몰,"""독일 명품 비타민"" 오쏘몰 이뮨 멀티비타민&미네랄 30+1입 - 시그니처 기프트 에디션 (공식수입)",109000,40000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260323085014_0e117bc6a35e4c30ba0d1fae0e77e9c4.jpg,202603
20260329,7320451,5,센트룸,[센트룸] 맛있는 멀티비타민 미네랄 멀티구미 (80구미),24000,50000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260313204605_f0a7d8a86abd42c0a9be9d3ee4d6f509.jpg,202603
20260329,556025,6,정관장,"""면역력 선물"" [정관장] 에브리타임 레귤러 (10ml x 30포) _ 대한민국 명품 홍삼정농축액 함유",69000,40000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20251229095350_aff83e6f885e471b85ff5145b47b701d.jpg,202603
20260329,7066484,7,정관장,"""에너지선물"" [정관장] 활기력 에너지박스 (20ml x 20병)",39900,30000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20251229091939_791c223811644c668143bf9605284b3f.jpg,202603
20260329,10056171,8,뉴트리포유,"""명품 비타민"" 뉴트리포유 듀얼+ 이뮨 종합 멀티비타민&미네랄 7입+2입 증정 - 선물하기 단독 에디션",19900,20000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260219100848_1c2cc8073bd44eaab9f09d6b8fb8f34c.jpg,202603
20260329,12159594,9,정관장,"""신상비타민선물"" [정관장] 활기마이트(액상30ml+분말500mg) 7입 + [증정] 2입",35000,4057,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260326160211_018e572a55e242aa935a8ac6fe41e1a9.jpg,202603
20260329,2941722,10,정관장,"""에너지선물"" [정관장] 활기력 맥스 에너지박스 (20ml x 16병) + [증정] 활기마이트 1입",39900,20000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260313105724_1e7c39482179448fb820e459e5157d33.jpg,202603
