date,code,rank,brand,product,price,like,img_url,url,period_ym
20260426,2301047,1,오쏘몰,독일 명품 비타민 오쏘몰 이뮨 멀티비타민&미네랄 8입(7+1) - 가정의달 에디션 (공식수입),34000,178000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260424171229_fd25a6b914f44309876e7a5cdb777597.jpg,https://gift.kakao.com/product/2301047,202604
20260426,7608679,2,옵티젠,한국인 맞춤 비타민 옵티젠 이뮨 멀티비타민&미네랄 10입+1입 / 1박스 (+1입 추가 GIFT / 카네이션&쇼핑백),29900,50000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260424135526_d59d2bf84b2d40a88abbcd8bc19a8955.jpg,https://gift.kakao.com/product/7608679,202604
20260426,556025,3,정관장,면역력 선물 [정관장] 에브리타임 레귤러 (10ml x 30포) + [증정] 카네이션 용돈봉투,58500,44000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260424142952_ad0e8d540d1e43b5aedc8de9f135190a.jpg,https://gift.kakao.com/product/556025,202604
20260426,11866425,4,오쏘몰,독일 명품 비타민 오쏘몰 이뮨 멀티비타민&미네랄 10입(7+3) - 가정의달 에디션 (공식수입),43000,8104,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260424170035_3012070a139746d49ee4e0a231b95f3d.jpg,https://gift.kakao.com/product/11866425,202604
20260426,2484405,5,오쏘몰,독일 명품 비타민 오쏘몰 이뮨 멀티비타민&미네랄 30+1입 - 가정의달 에디션 (러기지택 추가증정),109000,45000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260424165753_778ba4908045426fb262aa3ddaf41814.jpg,https://gift.kakao.com/product/2484405,202604
20260426,7066484,6,정관장,에너지선물 [정관장] 활기력 에너지박스 (20ml x 20병),39900,33000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20251229091939_791c223811644c668143bf9605284b3f.jpg,https://gift.kakao.com/product/7066484,202604
20260426,7320451,7,센트룸,[센트룸] 맛있는 멀티비타민 미네랄 멀티구미 (80구미),24000,54000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260331182647_376cf979d98b4eae9afe483f3f327ff0.jpg,https://gift.kakao.com/product/7320451,202604
20260426,10056171,8,뉴트리포유,명품 비타민 뉴트리포유 듀얼+ 이뮨 종합 멀티비타민&미네랄 7입+2입 증정 - 선물하기 단독 에디션,19900,24000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260219100848_1c2cc8073bd44eaab9f09d6b8fb8f34c.jpg,https://gift.kakao.com/product/10056171,202604
20260426,12159594,9,정관장,신상비타민선물 [정관장] 활기마이트(액상30ml+분말500mg) 7병,35000,4893,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260417163622_d95dcbe64d474fbeb7d2107af75e8dca.jpg,https://gift.kakao.com/product/12159594,202604
20260426,2941722,10,정관장,에너지선물 [정관장] 활기력 맥스 에너지박스 (20ml x 16병),37500,24000,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260407092347_60d053b39bf74f5e8045075415e1f178.jpg,https://gift.kakao.com/product/2941722,202604
